drugbank_id	bindingdb_id	uniprot	entrez_gene	measure	affinity_nM	n_measures	sources	pubmeds
DB00035	50205308	P30518	554	Ki	23.3	1	ChEMBL	15084136
DB00035	50205308	P37288	552	Ki	62.4	1	ChEMBL	15084136
DB00035	50205308	P47901	553	Ki	5.8	1	ChEMBL	15084136
DB00050	50369965	P30968	2798	Kd	1.26	1	ChEMBL	11462984
DB00091	86672	Q9NPD5	28234	Ki	1200	1	PDSP Ki	15665139
DB00091	50022815	O94956	11309	Ki	36000	1	ChEMBL	22541068
DB00091	50022815	O95342	8647	IC50	7648.52927	2	ChEMBL	12739759
DB00091	50022815	P05177	1544	IC50	100001	1	ChEMBL	19933795
DB00091	50022815	P08183	5243	Ki	2208.07879	4	ChEMBL	10198227,11961113,12134945
DB00091	50022815	P08684	1576	IC50	6549.80916	2	ChEMBL	19933795,12699389
DB00091	50022815	P10635	1565	IC50	100001	1	ChEMBL	19933795
DB00091	50022815	P11712	1559	IC50	38800	1	ChEMBL	19933795
DB00091	50022815	P21462	2357	IC50	10001	1	ChEMBL	12361388
DB00091	50022815	P23284	5479	Kd	9.8	1	ChEMBL	18571405
DB00091	50022815	P33261	1557	IC50	7000	1	ChEMBL	19933795
DB00091	50022815	P33527	4363	IC50	3310.03557	3	ChEMBL	18707884,23851114,24184213
DB00091	50022815	P62937	5478	Kd	38.52078	8	ChEMBL	19734911,21963115,11472213,18571405,21396746
DB00091	50022815	P62942	2280	Ki	20	1	ChEMBL	9857082
DB00091	50022815	P68106	2281	Ki	6	1	ChEMBL	7473543
DB00091	50022815	Q02127	1723	IC50	50001	1	ChEMBL	9719606
DB00091	50022815	Q02790	2288	IC50	16	1	ChEMBL	10794694
DB00091	50022815	Q08209	5530	Kd	4	1	ChEMBL	
DB00091	50022815	Q08752	5481	Ki	15.42725	2	ChEMBL	
DB00091	50022815	Q12908	6555	Ki	24000	1	ChEMBL	9458785
DB00091	50022815	Q14973	6554	IC50	1000	1	ChEMBL	10565843
DB00091	50022815	Q9NPD5	28234	Ki	1200	1	ChEMBL	22541068
DB00091	50022815	Q9UNQ0	9429	Ki	500	1	ChEMBL	11437380
DB00091	50022815	Q9Y6L6	10599	Ki	556.23736	2	ChEMBL	22541068,12538813
DB00091	50150950	P62937	5478	Ki	10	1	ChEMBL	15357990
DB00104	50059090	P30872	6751	Ki	506.48132	16	PDSP Ki	1328199,7870182,7988476,8100350,8521788,8769372,9045884,9290757,9600011,9650799,9724791,10433861,10598788
DB00104	50059090	P31391	6754	Ki	390.46569	14	PDSP Ki	8100352,7988476,8521788,8769372,9045884,9290757,9600011,9650799,9724791,10433861,10598788
DB00104	50272772	P30872	6751	Ki	875	1	ChEMBL	16220980
DB00104	50272772	P30874	6752	Ki	0.71079	3	ChEMBL	18656351,9822540,16220980
DB00104	50272772	P31391	6754	Ki	1380.54482	2	ChEMBL	9822540,16220980
DB00114	50118216	P51575	5023	IC50	10000	1	ChEMBL	23510563
DB00115	83973	O14727	317	IC50	6655.8578	2	PubChem	
DB00115	83973	P55211	842	IC50	437	1	PubChem	
DB00117	7953	Q16769	25797	Ki	4400000	1	BindingDB	14522962
DB00118	28422	P11086	5409	Kd	4800	1	ChEMBL	16279783
DB00118	28422	P22061	5110	Ki	88724.29205	2	ChEMBL	1732534
DB00118	28422	Q99873	3276	IC50	12000	1	ChEMBL	20219369
DB00118	50403124	P17707	262	Ki	5365.99574	3	ChEMBL	
DB00119	19473	Q92959	6578	Ki	2.6e+07	1	ChEMBL	11997326
DB00119	19473	Q9C0B1	79068	IC50	1000001	1	ChEMBL	23547775
DB00119	50159792	P00918	760	Ki	2110000	2	ChEMBL	15664815,19297172
DB00119	50159792	P22748	762	Ki	14500	1	ChEMBL	15664815
DB00119	50159792	P35218	763	Ki	5500000	1	ChEMBL	15664815
DB00119	50159792	Q16790	768	Ki	1120000	1	ChEMBL	15664815
DB00120	18073	P05186	249	IC50	5001	1	ChEMBL	20031422
DB00120	18073	P09923	248	IC50	5001	1	ChEMBL	20031422
DB00120	18073	Q9Y263	9373	IC50	5001	1	ChEMBL	20031422
DB00121	12	P00519	25	IC50	50.00562	2	PubChem	
DB00122	50026220	P22303	43	IC50	3013006.02	1	ChEMBL	9435905
DB00123	50352165	P00390	2936	Ki	54600	1	ChEMBL	21795044
DB00125	21959	P35228	4843	Kd	7000	2	ChEMBL	19230661,18220331
DB00127	79403	O43570	771	Ki	27600	2	ChEMBL	20590092,21282059
DB00127	79403	P00915	759	Ki	231000	2	ChEMBL	20590092,21282059
DB00127	79403	P00918	760	Ki	84000	2	ChEMBL	20590092,21282059
DB00127	79403	P07451	761	Ki	167000	1	ChEMBL	20590092
DB00127	79403	P22748	762	Ki	10	1	ChEMBL	20590092
DB00127	79403	P23280	765	Ki	990	1	ChEMBL	20590092
DB00127	79403	P35218	763	Ki	840	1	ChEMBL	20590092
DB00127	79403	P43166	766	Ki	710	1	ChEMBL	20590092
DB00127	79403	P61088	7334	IC50	14942.21637	2	PubChem	
DB00127	79403	Q16790	768	Ki	13300	2	ChEMBL	20590092,21282059
DB00127	79403	Q9ULX7	23632	Ki	860	1	ChEMBL	20590092
DB00127	79403	Q9Y2D0	11238	Ki	830	1	ChEMBL	20590092
DB00128	18125	P20933	175	Ki	6e+05	1	BindingDB	11697047
DB00131	18137	P12931	6714	IC50	100	1	ChEMBL	
DB00131	18137	P28329	1103	IC50	1.8e+12	1	ChEMBL	7310833
DB00131	18137	Q01970	5331	IC50	122473	1	PubChem	
DB00131	61258	P63279	7329	IC50	7950	1	PubChem	
DB00131	61258	Q01970	5331	IC50	122405	1	PubChem	
DB00131	61258	Q9UBE0	10055	IC50	16570	1	PubChem	
DB00131	50192453	P00338	3939	Kd	650000	1	BindingDB	22417091
DB00131	50280244	P60891	5631	IC50	5100000	1	ChEMBL	
DB00132	50240347	P04054	5319	IC50	22300	1	PubChem	
DB00132	50240347	P11511	1588	IC50	44200	1	ChEMBL	16643058
DB00132	50240347	P13726	2152	IC50	30000	1	ChEMBL	9834151
DB00132	50240347	P37231	5468	Kd	2000	1	ChEMBL	22260081
DB00132	50240347	Q9Y4P1	23192	IC50	15300	1	PubChem	
DB00132	50448436	P05413	2170	Kd	2.8	1	ChEMBL	24581547
DB00133	23167	Q7Z2H8	206358	Ki	2.2e+07	1	ChEMBL	21955456
DB00133	50357212	Q7Z2H8	206358	Ki	3.5e+07	1	ChEMBL	21955456
DB00134	86195	P08172	1129	Ki	10001	2	PDSP Ki	12649361
DB00134	86195	P08908	3350	Ki	10001	2	PDSP Ki	12649361
DB00134	86195	P08913	150	Ki	10001	2	PDSP Ki	12649361
DB00134	86195	P23975	6530	Ki	10001	2	PDSP Ki	12649361
DB00134	86195	P25021	3274	Ki	10001	2	PDSP Ki	12649361
DB00134	86195	P28221	3352	Ki	10001	2	PDSP Ki	12649361
DB00134	86195	P28222	3351	Ki	10001	2	PDSP Ki	12649361
DB00134	86195	P31645	6532	Ki	10001	2	PDSP Ki	12649361
DB00134	86195	P35367	3269	Ki	10001	2	PDSP Ki	12649361
DB00134	86195	P35368	147	Ki	10001	2	PDSP Ki	12649361
DB00134	86195	P47901	553	Ki	10001	4	PDSP Ki	12649361
DB00134	86195	P50406	3362	Ki	10001	2	PDSP Ki	12649361
DB00134	86195	Q01959	6531	Ki	10001	2	PDSP Ki	12649361
DB00134	86195	Q15822	1135	Ki	10001	4	PDSP Ki	12649361
DB00134	86195	Q9H3N8	59340	Ki	10001	2	PDSP Ki	12649361
DB00134	50142500	P49327	2194	Ki	150000001	1	ChEMBL	15026045
DB00135	18129	Q8NG68	150465	Ki	25000	1	BindingDB	20545322
DB00136	50200182	P02774	2638	Kd	24	1	ChEMBL	19739672
DB00136	50200182	P10275	367	IC50	10001	1	ChEMBL	23462715
DB00136	50200182	P11473	7421	Kd	0.065	1	ChEMBL	11462969
DB00138	86199	P08172	1129	Ki	10001	2	PDSP Ki	12649361
DB00138	86199	P08908	3350	Ki	10001	2	PDSP Ki	12649361
DB00138	86199	P08913	150	Ki	10001	2	PDSP Ki	12649361
DB00138	86199	P23975	6530	Ki	10001	2	PDSP Ki	12649361
DB00138	86199	P25021	3274	Ki	10001	2	PDSP Ki	12649361
DB00138	86199	P28221	3352	Ki	10001	2	PDSP Ki	12649361
DB00138	86199	P28222	3351	Ki	10001	2	PDSP Ki	12649361
DB00138	86199	P31645	6532	Ki	10001	1	PDSP Ki	12649361
DB00138	86199	P35367	3269	Ki	10001	2	PDSP Ki	12649361
DB00138	86199	P35368	147	Ki	10001	2	PDSP Ki	12649361
DB00138	86199	P47901	553	Ki	10001	4	PDSP Ki	12649361
DB00138	86199	P50406	3362	Ki	10001	2	PDSP Ki	12649361
DB00138	86199	Q01959	6531	Ki	10001	2	PDSP Ki	12649361
DB00138	86199	Q15822	1135	Ki	10001	4	PDSP Ki	12649361
DB00138	86199	Q9H3N8	59340	Ki	10001	2	PDSP Ki	12649361
DB00139	26121	B2RXH2	390245	IC50	710000	1	BindingDB	18942826
DB00139	26121	P20933	175	Ki	5e+06	1	BindingDB	11697047
DB00139	26121	Q9GZT9	54583	Kd	100001	2	ChEMBL	20025281
DB00142	17657	O00222	2918	Ki	9500	1	ChEMBL	10893301
DB00142	17657	O15303	2916	Ki	19494.56334	2	PDSP Ki,ChEMBL	9131252,10893301
DB00142	17657	P00390	2936	Ki	42700	1	ChEMBL	21795044
DB00142	17657	P39086	2897	Ki	701	1	ChEMBL	10969973
