drugbank_id	entrez_gene	affinity_nM	n_pairs
DB00035	552	62.4	1
DB00035	553	5.8	1
DB00035	554	23.3	1
DB00050	2798	1.26	1
DB00091	1244	6173.89666256247	1
DB00091	1544	100001	1
DB00091	1557	7000	1
DB00091	1559	38800	1
DB00091	1565	100001	1
DB00091	1576	6549.80915752513	1
DB00091	1723	50001	1
DB00091	2280	20	1
DB00091	2281	6	1
DB00091	2288	16	1
DB00091	2357	10001	1
DB00091	4363	3310.03556580167	1
DB00091	5243	2208.078794244	1
DB00091	5478	10	2
DB00091	5479	9.8	1
DB00091	5481	15.4272486205415	1
DB00091	5530	4	1
DB00091	6554	1000	1
DB00091	6555	24000	1
DB00091	8647	7648.52927038918	1
DB00091	9429	500	1
DB00091	10599	556.237359406936	1
DB00091	11309	36000	1
DB00091	28234	1200	2
DB00104	6751	506.481320071848	2
DB00104	6752	0.710785350647031	1
DB00104	6753	9.35547221797413	2
DB00104	6754	390.465688656115	2
DB00104	6755	6.8	2
DB00114	5023	10000	1
DB00115	317	6655.85779595688	1
DB00115	842	437	1
DB00117	25797	4400000	1
DB00118	262	5365.99574104728	1
DB00118	3276	12000	1
DB00118	5110	88724.2920512753	1
DB00118	5409	4800	1
DB00119	760	2110000	1
DB00119	762	14500	1
DB00119	763	5500000	1
DB00119	768	1120000	1
DB00119	6578	2.6e+07	1
DB00119	79068	1000001	1
DB00120	248	5001	1
DB00120	249	5001	1
DB00120	9373	5001	1
DB00121	25	50.0056176844162	1
DB00122	43	3013006.02	1
DB00123	2936	54600	1
DB00125	4843	7000	1
DB00127	759	231000	1
DB00127	760	84000	1
DB00127	761	167000	1
DB00127	762	10	1
DB00127	763	840	1
DB00127	765	990	1
DB00127	766	710	1
DB00127	768	13300	1
DB00127	771	27600	1
DB00127	7334	14942.2163683973	1
DB00127	11238	830	1
DB00127	23632	860	1
DB00128	175	6e+05	1
DB00131	1103	1.8e+12	1
DB00131	3939	650000	1
DB00131	5331	122405	2
DB00131	5631	5100000	1
DB00131	6714	100	1
DB00131	7329	7950	1
DB00131	10055	16570	1
DB00132	1588	44200	1
DB00132	2152	30000	1
DB00132	2170	2.8	1
DB00132	5319	22300	1
DB00132	5468	2000	1
DB00132	23192	15300	1
DB00133	206358	2.2e+07	2
DB00134	147	10001	1
DB00134	150	10001	1
DB00134	151	10001	1
DB00134	152	10001	1
DB00134	553	10001	1
DB00134	1128	10001	1
DB00134	1129	10001	1
DB00134	1131	10001	1
DB00134	1132	10001	1
DB00134	1135	10001	1
DB00134	1812	10001	1
DB00134	1816	10001	1
DB00134	2194	150000001	1
DB00134	3269	10001	1
DB00134	3274	10001	1
DB00134	3350	10001	1
DB00134	3351	10001	1
DB00134	3352	10001	1
DB00134	3362	10001	1
DB00134	5021	10001	1
DB00134	6530	10001	1
DB00134	6531	10001	1
DB00134	6532	10001	1
DB00134	59340	10001	1
DB00135	150465	25000	1
DB00136	367	10001	1
DB00136	2638	24	1
DB00136	7421	0.065	1
DB00138	147	10001	1
DB00138	150	10001	1
DB00138	151	10001	1
DB00138	152	10001	1
DB00138	553	10001	1
DB00138	1128	10001	1
DB00138	1129	10001	1
DB00138	1131	10001	1
DB00138	1132	10001	1
DB00138	1135	10001	1
DB00138	1812	10001	1
DB00138	1816	10001	1
DB00138	3269	10001	1
DB00138	3274	10001	1
DB00138	3350	10001	1
DB00138	3351	10001	1
DB00138	3352	10001	1
DB00138	3362	10001	1
DB00138	5021	10001	1
DB00138	6530	10001	1
DB00138	6531	10001	1
DB00138	6532	10001	1
DB00138	59340	10001	1
DB00139	175	5e+06	1
DB00139	54583	100001	1
DB00139	390245	710000	1
DB00142	2346	428000	1
DB00142	2890	1360	2
DB00142	2891	940	2
DB00142	2893	868	2
DB00142	2897	701	2
DB00142	2898	1106	2
DB00142	2899	789	2
DB00142	2901	725.0862017719	2
DB00142	2911	340	2
DB00142	2912	1200	2
DB00142	2913	9000	1
DB00142	2914	1600	2
DB00142	2916	19494.5633446866	1
DB00142	2917	5400000	1
DB00142	2918	9499.99999999999	1
DB00142	2936	42700	1
DB00142	6505	51	1
DB00142	6506	62000.0000000001	1
DB00142	6507	35000	1
DB00142	79068	1000001	2
DB00143	373156	20	1
DB00145	6536	31600	1
DB00145	206358	5100000	1
DB00147	316	30000	1
DB00148	206358	3200000	1
DB00149	248	5001	1
DB00149	249	5001	1
DB00149	9373	5001	1
DB00149	206358	1e+08	1
DB00150	248	5001	1
DB00150	249	5001	1
DB00150	4314	500001	2
DB00150	6999	11500000	1
DB00150	9373	5001	1
DB00151	147	10001	1
DB00151	150	10001	1
DB00151	151	10001	1
DB00151	152	10001	1
DB00151	553	10001	1
DB00151	1128	10001	1
DB00151	1129	10001	1
DB00151	1131	10001	1
DB00151	1132	10001	1
DB00151	1135	10001	1
DB00151	1812	10001	1
DB00151	1816	10001	1
DB00151	3269	10001	1
DB00151	3274	10001	1
DB00151	3350	10001	1
DB00151	3351	10001	1
DB00151	3352	10001	1
DB00151	3362	10001	1
DB00151	3832	63000.9999999999	1
DB00151	5021	10001	1
DB00151	6530	10001	1
DB00151	6531	10001	1
DB00151	6532	10001	1
DB00151	23657	58999.9999999999	1
DB00151	59340	10001	1
DB00151	206358	46000000.0000001	1
